岗位,地点,薪资,工作经验,学历,公司名称,技能,工作福利,工作类型,融资情况,公司规模
数据架构师,深圳·龙岗区·万科广场,15-25K,3-5年,本科,华为,"['数据分析', '算法']",零食下午茶，加班补助，五险一金，员工旅游，定期体检，股票期权，年终奖，餐补，节日福利，补充医疗保险,计算机软件,不需要融资,10000人以上
数据开发工程师,深圳·龙岗区·坂田,25-26K,3-5年,本科,华为,"['数据仓库', '数据开发', 'ETL', '数据分析']",零食下午茶，年终奖，节日福利，餐补，加班补助，五险一金，定期体检，股票期权，员工旅游，补充医疗保险,计算机软件,不需要融资,10000人以上
首席智能问答数据科学家,深圳·龙岗区·坂田,40-70K,5-10年,博士,华为,"['数据分析', '人工智能', '算法']",五险一金，节日福利，年终奖，餐补，加班补助，补充医疗保险，股票期权，定期体检，零食下午茶，员工旅游,计算机软件,不需要融资,10000人以上
大数据java架构师,深圳·龙岗区·万科城,40-70K,5-10年,本科,华为,"['Java', 'Hadoop/Spark', '数据分析']",股票期权，加班补助，五险一金，员工旅游，餐补，补充医疗保险，定期体检，节日福利，零食下午茶，年终奖,计算机软件,不需要融资,10000人以上
行业数据治理解决方案架构师,深圳·龙岗区·坂田,40-70K,5-10年,本科,华为,"['数据分析', '数据治理', '水利水务', '能源', '金融', '行业']",定期体检，零食下午茶，年终奖，股票期权，节日福利，加班补助，补充医疗保险，餐补，员工旅游，五险一金,计算机软件,不需要融资,10000人以上
大数据开发工程师,深圳·龙岗区·万科广场,15-25K,3-5年,本科,华为,"['数据分析', '机器学习', '算法']",股票期权，五险一金，员工旅游，定期体检，节日福利，补充医疗保险，加班补助，零食下午茶，年终奖，餐补,计算机软件,不需要融资,10000人以上
数据中台产品解决方案架构师,深圳·龙岗区·坂田,45-70K,5-10年,博士,华为,"['数据分析', '数据挖掘']",补充医疗保险，员工旅游，定期体检，加班补助，零食下午茶，年终奖，节日福利，股票期权，五险一金，餐补,计算机软件,不需要融资,10000人以上
大数据架构师/高级工程师,深圳·龙岗区·坂田,20-40K,5-10年,本科,华为,"['分布式技术', 'Hadoop', '大数据', '架构师', 'Mybatis']",员工旅游，节日福利，补充医疗保险，加班补助，股票期权，五险一金，定期体检，零食下午茶，年终奖，餐补,计算机软件,不需要融资,10000人以上
数据分析师,深圳·福田区·竹子林,15-30K,5-10年,本科,数势科技,['SQL'],股票期权，出差补助，五险一金，零食下午茶，节日福利，年终奖，带薪年假,企业服务,A轮,100-499人
数据分析师,深圳·福田区·会展中心,8-10K,经验不限,本科,融邦顾问,"['Excel', 'Python', '相关分析', '描述统计', '参数检验']",五险一金，全勤奖，带薪年假，节日福利，交通补助,培训机构,未融资,20-99人
数据分析师,深圳·福田区·梅林,20-25K,3-5年,本科,有信达集团,"['Python', 'Spark', 'Hadoop']",股票期权，员工旅游，全勤奖，定期体检，五险一金，节日福利，带薪年假，零食下午茶,物流/仓储,未融资,500-999人
数据分析师,深圳·福田区·华强南,10-15K,1-3年,本科,英特翎电子,"['SQL', 'Python', 'Excel', 'Tableau', 'Pandas']",员工旅游，零食下午茶，定期体检，节日福利，五险一金,贸易/进出口,未融资,20-99人
数据分析师,深圳·福田区·八卦岭,10-15K,3-5年,本科,世纪明亮,"['Excel', 'SQL', 'Python', 'Java']",员工旅游，节日福利，包住，定期体检，带薪年假，五险一金,环保,未融资,20-99人
数据分析师（深圳）,深圳·福田区·福田保税区,15-20K,1-3年,本科,CreditX,"['决策树', '聚类分析', '营销推荐', '精准营销', '投放']",补充医疗保险，带薪年假，五险一金，定期体检，节日福利，零食下午茶，年终奖，股票期权，员工旅游,互联网,C轮,100-499人
Python数据分析师,深圳·福田区·会展中心,13-22K,3-5年,本科,港航科,"['Python', '相关分析']",,数据服务,已上市,100-499人
数据分析岗位,深圳·福田区·竹子林,10-11K,经验不限,大专,沃尔玛(中国),"['Python', 'SQL', 'Java']",免费班车，节日福利，餐补，补充医疗保险，定期体检，带薪年假，年终奖，五险一金,生活服务,未融资,100-499人
大数据产品经理,深圳·福田区·会展中心,15-25K,3-5年,本科,国通星驿,"['中台产品', '大数据产品', '产品设计', '数据分析']",交通补助，加班补助，闭灯午休，免费班车，五险一金，股票期权，定期体检，商业保险，节日福利，带薪年假，年终奖，通讯补贴,互联网金融,不需要融资,500-999人
风控建模与分析,深圳·福田区·福田保税区,15-25K,3-5年,本科,氪信科技,"['风控建模', '机器学习算法', 'Python', '数据分析']",住房补贴，员工旅游，加班补助，餐补，补充医疗保险，五险一金，年终奖，零食下午茶，带薪年假，节日福利，股票期权，交通补助，定期体检,互联网,C轮,100-499人
数据产品经理（base福州）,深圳·福田区·竹子林,30-50K,3-5年,本科,朴朴科技,"['用户研究', '数据分析', '大数据产品', 'BI平台', '中台产品']",餐补，五险一金，年终奖，团建经费，带薪年假，健康体检，股票期权，节日福利,互联网,C轮,500-999人
