岗位,地点,薪资,工作经验,学历,公司名称,技能,工作福利,工作类型,融资情况,公司规模
高端产品职位,广州·番禺区·南村,35-45K,5-10年,本科,畅读,"['策略产品', '海外产品', '市场调研', '产品规划', '产品运营']",带薪年假，五险一金，股票期权，员工旅游，零食下午茶，定期体检，加班补助，节日福利，年终奖,媒体,不需要融资,100-499人
商业产品经理,广州·番禺区·厦滘,15-25K,3-5年,本科,Realibox引力波,"['用户增长', '数据分析', '数据产品', '策略产品', 'TO B']",员工旅游，节日福利，年终奖，五险一金，零食下午茶，带薪年假，加班补助，定期体检，股票期权,计算机软件,A轮,20-99人
京东运营,广州·番禺区·大石,6-11K,1-3年,大专,广州永和,"['数据分析', '电商运营', '产品运营', '京东', '数码3C']",五险一金，带薪年假，年终奖，节日福利，员工旅游，零食下午茶，加班补助，全勤奖,电子商务,不需要融资,20-99人
产品专员/产品助理,广州·番禺区·大石,5-7K,经验不限,大专,广州凌翔电子产品,"['市场调研', '数据分析', '需求分析', '产品设计']",带薪年假，交通补助，住房补贴，年终奖，双休，零食下午茶，全勤奖，员工旅游，五险一金，节日福利,贸易/进出口,未融资,500-999人
产品助理,广州·番禺区·大学城,5-10K,经验不限,本科,创世科技,"['产品设计', '数据分析', 'Axure', 'Visio', 'MindManager']",年终奖，股票期权，定期体检，员工旅游，节日福利，五险一金，零食下午茶，加班补助,计算机软件,不需要融资,20-99人
交通信号优化工程师,广州·番禺区·大学城,6-11K,经验不限,大专,方纬科技,"['数据分析', '大数据', '信号配时']",员工旅游，带薪年假，年终奖，定期体检，五险一金，节日福利,计算机软件,未融资,100-499人
Walmart/沃尔玛产品开发,广州·番禺区·大石,10-15K,1年以内,大专,广州华泓机电技术...,"['数据产品', '平台产品', '市场调研', '产品运营', '数据分析']",全勤奖，带薪年假，加班补助，零食下午茶，节日福利，五险一金，年终奖，员工旅游,电子商务,A轮,100-499人
产品经理,广州·番禺区·大学城,12-16K,3-5年,本科,仟语,"['产品迭代', '项目管理', '数据分析', '语音产品', '社交']",五险一金，加班打车，零食下午茶，带薪年假，节日福利，每月团建，全勤奖,移动互联网,不需要融资,20-99人
数据仓库设计师/数据仓库工程师（广州）,广州·番禺区·大石,20-30K,5-10年,大专,杨氏科技,"['数据分析', '数据架构', '数据仓库']",,计算机软件,未融资,20-99人
数据产品经理,广州·番禺区·南村,20-35K,3-5年,本科,欢聚集团,"['需求分析', '产品设计', '数据分析', 'TO B']",补充医疗保险，带薪年假，节日福利，五险一金，交通补助，股票期权，年终奖，员工旅游，定期体检，餐补，零食下午茶,移动互联网,已上市,1000-9999人
数据挖掘,广州·番禺区·长隆,20-40K,1-3年,硕士,虎牙,"['Python', '数据挖掘', '数据分析', 'Hive', '大数据']",带薪年假，五险一金，定期体检，餐补，股票期权，补充医疗保险，节日福利，加班补助，员工旅游，年终奖,互联网,已上市,1000-9999人
产品开发,广州·番禺区·长隆,6-11K,1-3年,大专,传盛户外,"['市场调研', '数据分析', 'C端产品', 'B端产品', '海外产品']",节日福利，员工旅游，社保，零食下午茶，团建活动，定期体检,电子商务,未融资,20-99人
商品专员,广州·番禺区·南村,5-8K,1-3年,学历不限,本善,"['数据产品', '数据分析', 'ERP产品']",加班补助，员工旅游，餐补，年终奖，住房补贴，节日福利，带薪年假，免费班车，全勤奖，零食下午茶,服装/纺织/皮革,未融资,20-99人
亚马逊产品开发（接受应届生）,广州·番禺区·长隆,6-10K,经验不限,本科,广州弘泽,"['数据分析', '电商产品', '市场调研', '英语', '跨境电商']",年终奖，加班补助，五险一金，全勤奖，员工旅游，带薪年假，零食下午茶，餐补,电子商务,未融资,20-99人
电商产品专员（包午餐+社保）,广州·番禺区·钟村,4-5K,1-3年,中专/中技,森宁,"['功能产品', '数据产品', '数据分析', '新产品开发']",零食下午茶，带薪年假，节日福利，全勤奖，五险一金，年终奖,互联网,不需要融资,100-499人
亚马逊产品开发,广州·番禺区·洛溪,6-11K,1-3年,大专,广州奕策贸易有限公司,"['数据分析', '平台产品', '产品开发']",通讯补贴，年终奖，带薪年假，零食下午茶，员工旅游，交通补助，五险一金，全勤奖，节日福利，加班补助，餐补,电子商务,不需要融资,20-99人
用户产品经理,广州·番禺区·南村,15-30K,1-3年,本科,YY直播,"['SQL', '数据产品', '产品规划', '用户研究', '用户增长']",员工旅游，股票期权，带薪年假，餐补，节日福利，五险一金，定期体检，年终奖,互联网,已上市,1000-9999人
数据产品经理,广州·番禺区·大学城,18-35K,经验不限,本科,探迹,"['数据产品', '需求分析', '产品设计', '用户研究', '项目管理']",全勤奖，员工旅游，五险一金，定期体检，通讯补贴，带薪年假，节日福利，补充医疗保险，餐补，股票期权，加班补助，年终奖，零食下午茶，定期团建,互联网,B轮,1000-9999人
产品开发经理/产品经理,广州·番禺区·洛溪,12-18K,3-5年,大专,同显电子,"['数据产品', '电商产品', '市场调研', '数据分析', 'TO C']",餐补,电子/半导体/集成电路,未融资,100-499人
高级亚马逊产品开发,广州·番禺区·钟村,8-12K,1-3年,大专,三凡电商,"['市场调研', '数据分析', '数据产品', '产品价格管理']",带薪年假，加班补助，员工旅游，餐补，节日福利，全勤奖，零食下午茶，定期体检，公积金，五险,电子商务,未融资,20-99人
证券产品经理（考虑应届生）,广州·番禺区·市桥,7-10K,1年以内,本科,广州经传,"['数据产品', '市场调研', '需求分析', '产品设计', '产品运营']",带薪年假，篮球赛、运动，通讯补贴，节日福利，员工旅游，补充医疗保险，五险一金，股票期权，年终奖，零食下午茶,移动互联网,不需要融资,500-999人
电商产品专员,广州·番禺区·洛溪,4-9K,1-3年,大专,广州奕策贸易有限公司,"['数据分析', '数据产品', '平台产品', '产品开发', '美客多']",五险一金，节日福利，餐补，年终奖，带薪年假，零食下午茶，员工旅游，通讯补贴，交通补助，加班补助，全勤奖,电子商务,不需要融资,20-99人
物流产品经理,广州·番禺区·南村,15-30K,3-5年,本科,欢聚集团,"['数据产品', '产品设计', '用户研究', '产品运营', '项目管理']",股票期权，零食下午茶，餐补，定期体检，节日福利，五险一金，年终奖，补充医疗保险，交通补助，带薪年假，员工旅游,移动互联网,已上市,1000-9999人
高级产品经理（TMS方向）,广州·番禺区·南村,25-40K,3-5年,本科,SHEIN,"['产品设计', '市场调研', '数据分析', '产品规划', '用户研究']",定期体检，零食下午茶，五险一金，股票期权，节日福利，年终奖，餐补，带薪年假，员工旅游,电子商务,D轮及以上,10000人以上
产品经理/产品开发主管/经理,广州·番禺区·洛溪,15-20K,3-5年,大专,同显电子,"['数据产品', '市场调研', '数据分析']",餐补,电子/半导体/集成电路,未融资,100-499人
跨境电商产品开发,广州·番禺区·洛溪,6-11K,1-3年,大专,广州奕策贸易有限公司,"['数据产品', '市场调研', '数据分析']",全勤奖，通讯补贴，五险一金，加班补助，餐补，节日福利，年终奖，零食下午茶，交通补助，带薪年假，员工旅游,电子商务,不需要融资,20-99人
高级产品经理(WMS方向) (MJ005470),广州·番禺区·南村,20-40K,3-5年,大专,SHEIN,"['功能产品', '数据产品', '市场调研', '产品设计', '用户研究']",零食下午茶，定期体检，员工旅游，年终奖，餐补，五险一金，带薪年假，股票期权，节日福利,电子商务,D轮及以上,10000人以上
广告商业化产品经理,广州·番禺区·南村,25-35K,3-5年,本科,欢聚集团,"['功能产品', '数据产品', '商业产品', '策略产品', '需求分析']",员工旅游，带薪年假，定期体检，零食下午茶，年终奖，五险一金，股票期权，节日福利，餐补，补充医疗保险，交通补助,移动互联网,已上市,1000-9999人
高级产品经理（MRP方向）,广州·番禺区·南村,20-40K,3-5年,本科,SHEIN,"['功能产品', '数据产品', '市场调研', '产品设计', '用户研究']",五险一金，年终奖，股票期权，定期体检，带薪年假，零食下午茶，节日福利，员工旅游，餐补,电子商务,D轮及以上,10000人以上
社交产品经理,广州·番禺区·南村,15-30K,1-3年,本科,欢聚集团,"['社区产品', '市场调研', '用户研究', '数据分析', '社交产品']",五险一金，节日福利，员工旅游，零食下午茶，交通补助，带薪年假，补充医疗保险，定期体检，年终奖，餐补，股票期权,移动互联网,已上市,1000-9999人
业务安全工程师,广州·番禺区·番禺广场,15-30K,1-3年,本科,BIGO,['数据分析'],住房补贴，全勤奖，补充医疗保险，年终奖，定期体检，带薪年假，股票期权，五险一金,移动互联网,已上市,1000-9999人
招商专员 (MJ004087),广州·番禺区·南村,5-10K,经验不限,大专,SHEIN,"['商务谈判', '商务渠道', '开发供应商', '跨境电商']",股票期权，带薪年假，五险一金，员工旅游，餐补，节日福利，零食下午茶，年终奖，定期体检,电子商务,D轮及以上,10000人以上
产品经理（用户增长）,广州·番禺区·南村,26-40K,1-3年,本科,欢聚集团,"['功能产品', '数据产品', '策略产品', '海外产品', '用户增长']",股票期权，餐补，带薪年假，定期体检，员工旅游，交通补助，零食下午茶，五险一金，补充医疗保险，年终奖，节日福利,移动互联网,已上市,1000-9999人
高级产品经理（WMS方向）,广州·番禺区·南村,20-40K,3-5年,本科,SHEIN,"['功能产品', '数据产品', '产品规划', '产品设计', '用户研究']",餐补，年终奖，节日福利，定期体检，零食下午茶，股票期权，五险一金，带薪年假，员工旅游,电子商务,D轮及以上,10000人以上
IMO社交产品经理,广州·番禺区·番禺广场,20-35K,3-5年,本科,BIGO,"['数据分析', '产品运营', '对话产品', '海外产品', 'TO C']",定期体检，股票期权，带薪年假，年终奖，补充医疗保险，全勤奖，住房补贴，五险一金,移动互联网,已上市,1000-9999人
社区产品经理,广州·番禺区·南村,15-30K,1-3年,本科,欢聚集团,"['功能产品', '数据产品', '社区产品', '市场调研', '用户研究']",带薪年假，股票期权，餐补，年终奖，零食下午茶，定期体检，交通补助，五险一金，补充医疗保险，员工旅游，节日福利,移动互联网,已上市,1000-9999人
高级产品经理（PLM供应链）,广州·番禺区·南村,20-35K,3-5年,本科,SHEIN,"['数据产品', '电商产品', 'B端产品', '产品设计', '数据分析']",餐补，年终奖，带薪年假，员工旅游，节日福利，零食下午茶，定期体检，股票期权，五险一金,电子商务,D轮及以上,10000人以上
电商风控产品经理,广州·番禺区·南村,20-40K,经验不限,本科,欢聚集团,"['产品设计', '市场调研', '需求分析', '项目管理', '数据分析']",补充医疗保险，股票期权，节日福利，五险一金，餐补，员工旅游，交通补助，年终奖，带薪年假，零食下午茶，定期体检,移动互联网,已上市,1000-9999人
高级产品经理(WMS方向) (MJ004770),广州·番禺区·南村,20-40K,3-5年,大专,SHEIN,"['产品设计', '市场调研', '数据分析', '用户研究', '数据产品']",餐补，五险一金，零食下午茶，节日福利，带薪年假，定期体检，年终奖，员工旅游，股票期权,电子商务,D轮及以上,10000人以上
高级产品经理（PLM供应链） (MJ005346),广州·番禺区·南村,20-40K,5-10年,本科,SHEIN,"['数据产品', '电商产品', 'B端产品', '产品设计', '数据分析']",零食下午茶，年终奖，五险一金，餐补，员工旅游，股票期权，带薪年假，定期体检，节日福利,电子商务,D轮及以上,10000人以上
B端供应链产品经理 (MJ003688),广州·番禺区·南村,20-40K,3-5年,本科,SHEIN,"['产品设计', '需求分析', '数据分析', '产品规划', '项目管理']",定期体检，股票期权，五险一金，带薪年假，餐补，年终奖，零食下午茶，员工旅游，节日福利,电子商务,D轮及以上,10000人以上
高级产品经理（PLM） (MJ005005),广州·番禺区·南村,20-40K,3-5年,本科,SHEIN,"['产品设计', '数据分析', '数据产品', '电商产品', 'B端产品']",带薪年假，定期体检，员工旅游，年终奖，节日福利，餐补，零食下午茶，五险一金，股票期权,电子商务,D轮及以上,10000人以上
高级产品经理(MRP方向) (MJ005781),广州·番禺区·南村,20-40K,3-5年,大专,SHEIN,"['功能产品', '数据产品', '市场调研', '产品设计', '用户研究']",零食下午茶，节日福利，年终奖，员工旅游，五险一金，带薪年假，餐补，定期体检，股票期权,电子商务,D轮及以上,10000人以上
高级产品经理(WMS方向) (MJ005470),广州·番禺区·南村,20-40K,5-10年,大专,SHEIN,"['功能产品', '数据产品', '市场调研', '产品设计', '用户研究']",五险一金，员工旅游，零食下午茶，定期体检，股票期权，带薪年假，节日福利，年终奖，餐补,电子商务,D轮及以上,10000人以上
数据分析师,广州·白云区·广园路,7-12K,1-3年,本科,欧博,"['Excel', '数据分析', '电商数据', '电商财务', '财务数据']",餐补，包吃,电子商务,未融资,1000-9999人
数据分析师,广州·花都区·莲塘,5-10K,1-3年,本科,麦斯卡,"['数据分析', '电商运营数据分析', '数据挖掘', '数据运营']",节日福利，五险一金，餐补，带薪年假,互联网,B轮,100-499人
数据分析师,广州·越秀区·北京路,15-30K,5-10年,本科,茉莉数科,"['数据分析', '数据挖掘', '数据仓库', '商业分析']",五险一金，交通补助，带薪年假，节日福利，餐补,广告/公关/会展,B轮,500-999人
数据分析师,广州·越秀区·岭南,7-12K,3-5年,大专,影子数据,"['数据分析', 'tableau', '数据挖掘']",交通补助，五险一金，带薪年假，住房补贴，全勤奖，餐补，年终奖，员工旅游，节日福利，通讯补贴,数据服务,未融资,20-99人
数据分析师,广州·黄埔区·知识城,7-10K,3-5年,本科,六维教育,['数据分析'],股票期权，个人成长课程，全勤奖，交通补助，节日福利，带薪年假，五险一金，年终奖，定期体检，补充医疗保险，零食下午茶，餐补，通讯补贴，住房补贴，员工旅游,培训机构,未融资,100-499人
数据分析师,广州·黄埔区·科学城,10-15K,1-3年,本科,伟宏智能,"['SQL', '数据分析']",五险一金，带薪年假，补充医疗保险，补充医疗保险，定期体检，带薪年假，股票期权，员工旅游，年终奖，股票期权，交通补助，交通补助，定期体检，五险一金，年终奖，员工旅游,计算机软件,未融资,20-99人
高级数据分析师,广州·荔湾区·芳村,18-30K,5-10年,本科,未来一手网络科技...,"['数据分析', '数据治理']",零食下午茶，带薪年假，员工旅游，定期体检，餐补，五险一金，年终奖，股票期权，节日福利，加班补助,电子商务,C轮,500-999人
经营分析-数据分析师,广州·海珠区·琶洲,15-25K,3-5年,本科,今日头条,"['Python', 'Excel', 'Tableau', '数据分析', '业务分析']",交通补助，带薪年假，补充医疗保险，住房补贴，员工旅游，包吃，节日福利，加班补助，年终奖，定期体检，通讯补贴，免费班车，股票期权，零食下午茶,移动互联网,D轮及以上,10000人以上
数据分析师,广州·黄埔区·荔联,5-6K,1-3年,本科,协手,"['数据分析', '系统运维', '数据架构']",带薪年假，节日福利，加班补助，员工旅游，零食下午茶,电子商务,天使轮,20-99人
数据分析师（跨境电商+双休）,广州·白云区·石井,8-13K,3-5年,本科,广州盛为电子,"['SQL', 'SPSS', 'SAS', 'Tableau', 'R', '数据分析']",全勤奖，交通补助，餐补，节日福利，住房补贴，年终奖，零食下午茶,电子商务,未融资,100-499人
数据分析师-BI工程师,广州·黄埔区·科学城,6-11K,1-3年,本科,广州博锐,"['数据分析', 'Cognos', 'Excel', 'MySQL', 'BI', '商业分析']",五险一金，交通补助,企业服务,未融资,20-99人
数据分析师,广州,5-8K,1-3年,大专,广州景煜电子商务,"['Excel', 'Python', 'SQL', '电商数据分析', 'Tableau/BI']",零食下午茶，节日福利，员工旅游，社保五险，年终奖，全勤奖，带薪年假，定期体检,电子商务,未融资,20-99人
数据分析师,广州·海珠区·琶洲,8-13K,1-3年,本科,东方雨虹,"['市场调研', '数据分析', '项目管理']",交通补助，通讯补贴，五险一金，定期体检，股票期权，员工旅游，带薪年假，餐补，免费班车，年终奖，节日福利，零食下午茶,工程施工,已上市,10000人以上
数据分析师,广州·越秀区·东风东,12-18K,1-3年,本科,佰聆数据,"['数据分析', '数据挖掘', 'Python', 'SQL']",餐补，定期体检，通讯补贴，节日福利，年终奖，带薪年假，补充医疗保险，五险一金,互联网,不需要融资,500-999人
高级数据分析师,广州,23-35K,5-10年,本科,网易,"['Python', 'Hadoop', '数据分析', '业务数据分析']",补充医疗保险，免费班车，全勤奖，包吃，定期体检，五险一金，节日福利，带薪年假，年终奖,移动互联网,已上市,10000人以上
数据分析师,广州·越秀区·五羊新城,6-9K,1-3年,大专,怡铭文化,"['数据分析', '商业分析', 'Python', 'SQL', 'R语言']",节日福利，年终奖，五险一金，带薪年假，股票期权,音乐/视频/阅读,天使轮,20-99人
数据分析师,广州·海珠区·琶洲,6-7K,1-3年,大专,博骏传媒,"['数据分析', '商业分析']",补充医疗保险，带薪年假，五险一金，餐补，通讯补贴，员工旅游，节日福利，零食下午茶,媒体,未融资,20-99人
数据分析师,广州·黄埔区·科学城,7-11K,1-3年,本科,尚德机构,"['数据分析', '数据仓库', '商业数据分析', 'SQL', 'Python']",节日福利，零食下午茶，五险一金，员工旅游，加班补助，年终奖，带薪年假,在线教育,已上市,10000人以上
数据分析师,广州·越秀区·登峰,10-15K,1-3年,硕士,广东智源,"['数据分析', '数据挖掘', '数据处理']",年终奖，节日福利，零食下午茶，五险一金，带薪年假，员工旅游，定期体检,计算机软件,未融资,100-499人
数据分析师,广州·海珠区·赤岗,30-35K,3-5年,本科,腾讯,"['数据分析', '数据仓库', 'SQL', 'BI', '商业分析', 'Python']",年终奖，带薪年假，员工旅游，股票期权，餐补，免费早晚餐，住房补贴，节日福利，交通补助，五险一金，零食下午茶，公仔周边活动，补充医疗保险，免费班车，包吃，定期体检，免费健身房,互联网,不需要融资,10000人以上
数据分析师,广州,10-15K,3-5年,本科,南方+,"['Java', 'Scala', 'SQL', 'Excel', 'Hive', '数据分析']",五险一金，餐补，年终奖，带薪年假，加班补助，定期体检，通讯补贴，交通补助,移动互联网,不需要融资,100-499人
数据分析师,广州·白云区·白云绿地中心,10-15K,1-3年,本科,丹姿集团,"['bi', '商业分析', '数据建模', '统计学', '电商行业']",五险一金，带薪年假，零食下午茶，年终奖，通讯补贴，定期体检，员工旅游，补充医疗保险，加班补助，节日福利,其他行业,不需要融资,1000-9999人
数据分析师,广州·天河区·跑马场,15-20K,1-3年,本科,北京资采,"['SQL', '描述统计', '方差分析', '因子分析', '决策树']",定期体检，股票期权，加班补助，节日福利，年终奖，带薪年假，五险一金,通信/网络设备,B轮,100-499人
数据分析工程师,广州·荔湾区·芳村,15-25K,3-5年,本科,唯品会,"['数据分析', '数据仓库', 'SQL', 'Python', 'Excel', 'hive']",住房补贴，股票期权，定期体检，带薪年假，员工旅游，通讯补贴，节日福利，五险一金，补充医疗保险，年终奖，免费班车，零食下午茶，包吃，全勤奖，交通补助,互联网,已上市,10000人以上
高级数据分析工程师,广州·天河区·棠下,20-30K,5-10年,本科,荔枝集团,"['SQL', 'Hive', '数据分析']",定期体检，健身房，带薪年假，零食下午茶，五险一金，包吃，节日福利，交通补助，商业保险，员工旅游，年终奖,移动互联网,已上市,500-999人
数据分析工程师,广州·越秀区·环市东,7-12K,1-3年,大专,娄文品牌策划,"['数据分析', '数据挖掘', 'SQL', '商业数据分析']",股票期权，餐补，零食下午茶，定期体检，带薪年假，五险一金，节日福利，年终奖，加班补助，员工旅游,广告营销,不需要融资,20-99人
数据分析（课程研发方向）,广州·番禺区·大学城,7-12K,1-3年,本科,广州秒可科技有限公司,"['Python', 'SQL', 'Excel', '在线教育', '课程设计']",带薪年假，节日福利，生日会，补充医疗保险，五险一金，员工旅游，零食下午茶,在线教育,A轮,100-499人
经营分析-数据分析师,广州·海珠区·琶洲,20-30K,3-5年,本科,今日头条,"['生活服务/O2O', 'SQL', '专题分析', '数据分析', '业务策略']",住房补贴，股票期权，通讯补贴，年终奖，零食下午茶，加班补助，带薪年假，补充医疗保险，定期体检，包吃，节日福利，员工旅游，交通补助，免费班车,移动互联网,D轮及以上,10000人以上
数据分析,广州·白云区·黄边,10-15K,1-3年,本科,三体网络,"['用户画像', '生意参谋', '数据银行', '数据分析']",加班补助，员工旅游，五险一金，节日福利，全勤奖，带薪年假,移动互联网,未融资,100-499人
行情分析师,广州·黄埔区·科学城,10-15K,经验不限,本科,好推网络,"['数据分析', '股票分析', '行情分析', '行业分析']",年终奖，节日福利，带薪年假，定期体检，零食下午茶，员工旅游，五险一金，包吃，全勤奖,游戏,天使轮,20-99人
产品开发/分析专员,广州·白云区·嘉禾,5-9K,1-3年,大专,广州迈蓝,"['电商产品', '海外产品', '市场调研', '需求分析', '用户研究']",零食下午茶，加班补助，带薪年假，全勤奖，员工旅游，餐补，节日福利，五险一金,电子商务,未融资,20-99人
数据主管,广州·海珠区·赤岗,10-15K,3-5年,大专,  狮之谦电子商务 ,"['市场调研', '数据分析', '需求分析', '电商', '服装', '女装']",节日福利，包吃，全勤奖，餐补，零食下午茶，年终奖,电子商务,未融资,500-999人
商业分析及消费者研究主管,广州·荔湾区·芳村,12-18K,3-5年,本科,朝云集团,"['数据分析', '行业分析']",节日福利，定期体检，五险一金，餐补，年终奖，零食下午茶,日化,已上市,500-999人
数据产品经理,广州·番禺区·南村,16-25K,3-5年,本科,行致互联,"['平台产品', '产品设计', '数据分析']",定期体检，员工旅游，补充医疗保险，五险一金，带薪年假，节日福利,互联网,未融资,20-99人
数据产品经理,广州·海珠区·琶洲,15-20K,3-5年,大专,中软国际,"['需求分析', '产品设计', '用户研究', '数据分析', 'Axure']",五险一金，餐补，节日福利，免费班车，年终奖，员工旅游，零食下午茶，带薪年假，加班补助，定期体检,计算机软件,已上市,10000人以上
数据产品经理,广州·黄埔区·科学城,15-25K,3-5年,本科,六一教育,"['海外产品', '数据分析', '用户研究', 'Axure', 'Visio']",年终奖，交通补助，通讯补贴，加班补助，零食下午茶，五险一金，节日福利，员工旅游，餐补，定期体检，带薪年假，股票期权,在线教育,B轮,1000-9999人
数据运营,广州·天河区·猎德,15-20K,3-5年,本科,沃音乐,"['运营', '数据分析', '互联网']",年终奖，住房补贴，通讯补贴，交通补助，定期体检，加班餐，节日福利，带薪年假，餐补，五险一金，补充医疗保险,运营商/增值服务,未融资,100-499人
经营分析专家,广州·荔湾区·康王路,20-30K,5-10年,本科,名创优品,"['数据分析', '商业分析']",节日福利，五险一金，员工旅游，股票期权，餐补，带薪年假,其他行业,已上市,10000人以上
高级数据分析经理,广州,25-50K,10年以上,本科,网易,"['数据分析', '业务分析', '用户分析', '营收分析']",全勤奖，补充医疗保险，五险一金，定期体检，节日福利，包吃，年终奖，免费班车，带薪年假,移动互联网,已上市,10000人以上
数据分析师,北京·海淀区·马连洼,20-40K,3-5年,硕士,传易互联,"['Python', '方差分析', '回归分析', '因子分析', '聚类分析']",年终奖，定期体检，零食下午茶，带薪年假，员工旅游，加班补助，五险一金,移动互联网,不需要融资,1000-9999人
数据分析师,北京·海淀区·西三旗,9-14K,3-5年,硕士,齐碳科技,"['Python', 'SQL']",员工旅游，节日福利，股票期权，补充医疗保险，年终奖，带薪年假，定期体检，五险一金，加班补助，零食下午茶,医疗健康,B轮,100-499人
高级数据分析师,北京·海淀区·知春路,25-45K,5-10年,本科,启航星辰,"['Spark', 'Flume', 'Flink', 'Neo4J', 'DataX']",零食下午茶，节日福利，股票期权，五险一金，定期体检，年终奖，餐补，带薪年假,互联网,不需要融资,100-499人
高级数据分析师-产品方向,北京·海淀区·牡丹园,18-30K,3-5年,本科,点众科技,"['Tableau', 'SQL']",餐补，通讯补贴，带薪年假，加班补助，多彩活动，定期体检，带薪病假，年终奖，员工旅游，工作居住证，节日福利，五险一金，零食下午茶,移动互联网,不需要融资,100-499人
数据分析师,北京·海淀区·双榆树,18-22K,3-5年,本科,公瑾科技,"['Python', 'SQL', 'Excel', 'Tableau']",补充医疗保险，股票期权，节日福利，带薪培训，提供工作手机，定期团建，员工旅游，带薪年假，零食下午茶，年终奖，各项奖金，五险一金，定期体检,互联网,D轮及以上,1000-9999人
资深数据分析师,北京·海淀区·回龙观,25-50K,5-10年,本科,滴滴出行,"['数据分析', '数据挖掘', '商业分析']",五险一金，交通补助，股票期权，定期体检，补充医疗保险，免费班车，带薪年假，零食下午茶，节日福利，年终奖,移动互联网,D轮及以上,1000-9999人
数据分析师,北京·海淀区·清河,20-40K,经验不限,本科,好未来,"['Python', 'Excel', 'Hive']",节日福利，不定期培训，五险一金，购房福利，年终奖，全勤奖，带薪年假，餐补，商业保险，补充医疗保险，定期体检,互联网,已上市,10000人以上
数据分析师,北京·海淀区·中关村,25-45K,3-5年,本科,好未来,"['Python', '回归分析', '聚类分析', '决策树']",补充医疗保险，五险一金，商业保险，节日福利，定期体检，全勤奖，带薪年假，购房福利，年终奖，不定期培训，餐补,互联网,已上市,10000人以上
数据分析师,北京·海淀区·牡丹园,12-24K,3-5年,本科,点众科技,"['Tableau', 'SQL']",节日福利，餐补，多彩活动，年终奖，工作居住证，定期体检，员工旅游，加班补助，带薪病假，带薪年假，通讯补贴，零食下午茶，五险一金,移动互联网,不需要融资,100-499人
资深数据分析师（产品功能）,北京·海淀区·皂君庙,25-50K,3-5年,本科,今日头条,"['Excel', 'Tableau', 'Python', 'SQL']",员工旅游，通讯补贴，包吃，股票期权，免费班车，交通补助，定期体检，住房补贴，节日福利，年终奖，带薪年假，加班补助，补充医疗保险，零食下午茶,移动互联网,D轮及以上,10000人以上
数据分析师,北京·朝阳区·双井,15-30K,1-3年,本科,拼室友,"['数据分析', 'Python', 'Flask', 'Elixir']",定期体检，股票期权，零食下午茶，带薪年假，员工旅游，年终奖，节日福利，补充医疗保险，五险一金,数据服务,A轮,20-99人
数据分析师,北京·朝阳区·来广营,15-30K,1-3年,硕士,北京一览科技有限公司,"['MySQL', '数据分析', 'python']",节日福利，带薪年假，补充医疗保险，年终奖，零食下午茶，交通补助，员工旅游，五险一金，餐补，定期体检,互联网,B轮,100-499人
数据分析师,北京·朝阳区·酒仙桥,20-35K,3-5年,本科,洋葱学园,"['Excel', 'SPSS', 'SQL', 'Python']",零食下午茶，免费班车，年终奖，免费三餐，包吃，节日福利，五险一金，补充医疗保险，带薪年假，定期体检,互联网,D轮及以上,500-999人
数据分析师,北京·朝阳区·望京,8-12K,1-3年,本科,新奥数能,"['Python', 'SQL', 'Tableau', 'Power BI']",餐补，通讯补贴，定期体检，带薪年假，年终奖，五险一金，交通补助，节日福利，加班补助,互联网,不需要融资,100-499人
数据分析师,北京·朝阳区·三元桥,15-30K,1-3年,本科,集度汽车,"['Python', 'SQL', 'Excel', 'R']",股票期权,汽车生产,未融资,500-999人
数据分析师（海外）,北京·朝阳区·亚运村,20-30K,3-5年,本科,快看漫画,['Excel'],五险一金，餐补，交通补助，员工旅游，定期体检，补充医疗保险，节日福利，年终奖，零食下午茶，带薪年假，通讯补贴,文化/体育/娱乐,D轮及以上,500-999人
行为数据分析师,北京·朝阳区·鸟巢,15-30K,3-5年,本科,北京字节跳动,"['Excel', 'SQL', '相关分析']",股票期权，零食下午茶，年终奖，住房补贴，五险一金，节日福利，餐补，定期体检，免费健身房，带薪年假，补充医疗保险，嘀嘀打车，加班补助,移动互联网,D轮及以上,10000人以上
数据分析师,北京·朝阳区·太阳宫,15-20K,经验不限,本科,BOSS直聘,"['数据分析', 'SQL', '数据挖掘', 'Shell']",员工旅游，定期体检，带薪年假，餐补，五险一金，加班补助，年终奖，交通补助，住房补贴，补充医疗保险，股票期权，节日福利,人力资源服务,已上市,1000-9999人
数据分析师,北京·朝阳区·四惠,25-40K,3-5年,本科,颐圣智能,"['医疗健康', 'Tableau', 'Hive', 'SQL', '数学/统计学专业']",员工旅游，年终奖，五险一金，节日福利，股票期权，带薪年假，零食下午茶,医疗健康,A轮,20-99人
数据分析师,北京·朝阳区·酒仙桥,20-35K,3-5年,本科,360数科,"['Python', '消费金融', 'Spark', 'Excel', '项目管理', 'SQL']",补充医疗保险，免费班车，五险一金，加班补助，定期体检，员工旅游，年终奖，零食下午茶，带薪年假，节日福利，包吃,互联网金融,已上市,1000-9999人
数据分析师,北京·朝阳区·太阳宫,15-30K,1-3年,本科,BOSS直聘,"['Excel', 'SPSS', 'SAS', 'Tableau', 'SQL', 'Python']",交通补助，五险一金，员工旅游，年终奖，加班补助，补充医疗保险，定期体检，股票期权，餐补，带薪年假，住房补贴，节日福利,人力资源服务,已上市,1000-9999人
